stop_year,stop_month,stop_date,stop_hour,driver_gender,drivers_age_bucket,drivers_race,stop_duration,is_arrested,drugs_related_stop,violations_raw,search_score,stop_outcome
2009,01,07,17,M,4.0,White,0-15 Min,False,False,Equipment/Inspection Violation,1,Citation
2014,10,17,16,M,7.0,White,0-15 Min,False,False,Seatbelt Violation,1,Citation
2005,12,20,20,M,7.0,White,0-15 Min,False,False,Speeding,1,Citation
2013,10,30,12,F,4.0,White,0-15 Min,False,False,Speeding,1,Citation
2005,11,10,22,M,5.0,White,0-15 Min,False,False,Speeding,1,Citation
2011,06,08,10,M,4.0,Asian,16-30 Min,False,False,Speeding,1,Citation
2011,10,13,1,M,3.0,Hispanic,0-15 Min,False,False,Other Traffic Violation,1,Citation
2014,10,17,22,F,6.0,White,0-15 Min,False,False,Registration Violation,1,Citation
2006,05,11,10,M,4.0,White,0-15 Min,False,False,Speeding,1,Citation
2011,01,02,15,M,5.0,White,0-15 Min,False,False,Equipment/Inspection Violation,1,Citation
2009,05,20,10,M,10.0,White,16-30 Min,False,False,Other Traffic Violation,1,Citation
2013,03,25,10,M,4.0,Black,0-15 Min,False,False,Speeding,1,Citation
2011,04,10,9,F,5.0,White,16-30 Min,False,False,Speeding,1,Citation
2011,10,24,10,M,14.0,White,16-30 Min,False,False,Other Traffic Violation,1,Citation
2012,07,23,7,M,6.0,Hispanic,0-15 Min,False,False,Other Traffic Violation,1,Citation
2012,08,13,23,M,8.0,White,0-15 Min,False,False,Speeding,1,Citation
2013,04,18,6,M,6.0,White,0-15 Min,False,False,Speeding,1,Citation
2014,08,29,11,F,7.0,White,0-15 Min,False,False,Speeding,1,Citation
2015,06,23,11,F,4.0,White,0-15 Min,False,False,Speeding,1,Citation
2014,03,01,10,M,10.0,White,0-15 Min,False,False,Speeding,1,Citation
2009,06,28,14,M,4.0,Hispanic,16-30 Min,False,False,Speeding,2,Citation
2005,12,23,10,F,5.0,White,0-15 Min,False,False,Speeding,1,Citation
2014,07,12,14,M,5.0,White,0-15 Min,False,False,Speeding,1,Citation
2006,09,17,21,M,4.0,White,16-30 Min,False,False,Speeding,1,Citation
2008,03,17,9,M,6.0,White,0-15 Min,False,False,Speeding,1,Citation
2015,12,04,7,F,8.0,White,0-15 Min,False,False,Speeding,1,Citation
2014,08,07,11,M,14.0,White,0-15 Min,False,False,Speeding,1,Citation
2008,05,14,23,M,4.0,White,16-30 Min,False,False,Speeding,1,Citation
2012,09,08,12,M,4.0,White,0-15 Min,False,False,Speeding,1,Citation
2005,12,01,6,M,9.0,White,0-15 Min,False,False,Speeding,1,Citation
2013,05,23,14,F,5.0,White,0-15 Min,False,False,Speeding,1,Citation
2010,06,01,6,M,12.0,Black,0-15 Min,False,False,Other Traffic Violation,1,Citation
2010,09,06,8,M,4.0,White,0-15 Min,False,False,Speeding,1,Citation
2008,06,12,0,M,9.0,Black,0-15 Min,False,False,Speeding,1,Citation
2015,01,10,11,M,4.0,White,0-15 Min,False,False,Speeding,1,Citation
2008,01,05,9,M,8.0,Asian,0-15 Min,False,False,Speeding,1,Citation
2015,03,16,10,F,8.0,White,0-15 Min,False,False,Speeding,1,Citation
2005,11,13,8,M,7.0,White,0-15 Min,False,False,Speeding,1,Citation
2009,09,25,10,M,4.0,Hispanic,0-15 Min,False,False,Equipment/Inspection Violation,1,Citation
2012,07,17,16,F,6.0,White,0-15 Min,False,False,Equipment/Inspection Violation,1,Citation
2006,06,22,23,M,3.0,White,0-15 Min,False,False,Call for Service,1,Citation
2006,09,21,9,M,11.0,White,16-30 Min,False,False,Other Traffic Violation,1,Citation
2012,07,13,11,M,6.0,Asian,16-30 Min,False,False,Other Traffic Violation,1,Citation
2015,10,26,22,F,5.0,Asian,16-30 Min,False,False,Speeding,1,Citation
2009,02,11,10,M,3.0,Hispanic,16-30 Min,False,False,Equipment/Inspection Violation,1,Citation
2007,05,12,7,M,4.0,Black,0-15 Min,False,False,Speeding,1,Citation
2015,06,22,22,M,8.0,Black,0-15 Min,False,False,Equipment/Inspection Violation,1,Citation
2014,03,23,8,F,4.0,Asian,0-15 Min,False,False,Speeding,1,Citation
2007,06,10,22,M,4.0,White,0-15 Min,False,False,Registration Violation,1,Citation
2011,11,30,17,F,3.0,White,0-15 Min,False,False,Call for Service,1,Citation
2009,01,11,23,M,4.0,White,0-15 Min,False,False,Speeding,1,Citation
2007,11,25,17,F,11.0,White,16-30 Min,False,False,Speeding,1,Citation
2006,06,20,11,M,12.0,White,0-15 Min,False,False,Speeding,1,Citation
2008,02,17,17,F,8.0,Black,0-15 Min,False,False,Speeding,1,Citation
2015,01,07,15,M,6.0,White,0-15 Min,False,False,Seatbelt Violation,1,Citation
2010,01,13,15,M,3.0,White,0-15 Min,False,False,Speeding,1,Citation
2013,03,11,22,M,5.0,White,0-15 Min,False,False,Equipment/Inspection Violation,1,Citation
2015,01,10,11,M,3.0,White,0-15 Min,False,False,Equipment/Inspection Violation,1,Citation
2008,01,08,10,M,6.0,White,0-15 Min,False,False,Speeding,1,Citation
2014,08,26,20,M,6.0,White,0-15 Min,False,False,Speeding,1,Citation
2012,01,04,14,F,5.0,White,0-15 Min,False,False,Other Traffic Violation,1,Citation
2007,01,15,11,M,4.0,White,16-30 Min,False,False,Other Traffic Violation,8,Citation
2014,01,14,15,M,5.0,Black,0-15 Min,False,False,Equipment/Inspection Violation,1,Citation
2007,06,25,10,M,7.0,White,16-30 Min,False,False,Registration Violation,1,Citation
2010,05,31,20,M,5.0,Hispanic,0-15 Min,False,False,Other Traffic Violation,1,Citation
2011,12,07,9,F,6.0,White,0-15 Min,False,False,Speeding,1,Citation
2011,11,04,8,M,11.0,Black,0-15 Min,False,False,Speeding,1,Citation
2006,09,04,9,F,4.0,Asian,0-15 Min,False,False,Speeding,1,Citation
2010,01,15,8,M,8.0,White,0-15 Min,False,False,Other Traffic Violation,1,Citation
2007,08,09,11,M,12.0,White,0-15 Min,False,False,Speeding,1,Citation
2010,10,25,22,M,4.0,White,16-30 Min,False,False,Speeding,1,Citation
2006,02,04,17,M,6.0,White,0-15 Min,False,False,Speeding,1,Citation
2007,08,29,20,M,10.0,White,0-15 Min,False,False,Speeding,1,Citation
2006,05,11,10,F,6.0,White,0-15 Min,False,False,Speeding,1,Citation
2010,09,27,23,M,5.0,Asian,0-15 Min,False,False,Speeding,1,Citation
2008,08,18,10,F,4.0,White,16-30 Min,False,False,Speeding,1,Citation
2014,09,13,15,M,5.0,White,0-15 Min,False,False,Registration Violation,1,Citation
2014,07,06,16,M,4.0,Hispanic,0-15 Min,False,False,Seatbelt Violation,1,Citation
2012,08,21,11,F,6.0,White,16-30 Min,False,False,Speeding,1,Citation
2008,07,09,3,M,4.0,Black,30+ Min,False,False,Other Traffic Violation,2,Citation
2015,02,23,7,F,9.0,White,0-15 Min,False,False,Speeding,1,Citation
2013,10,13,1,M,3.0,White,0-15 Min,False,False,Other Traffic Violation,1,Citation
2006,06,13,18,F,5.0,White,0-15 Min,False,False,Speeding,1,Citation
2010,07,10,20,F,4.0,White,0-15 Min,False,False,Speeding,1,Citation
2011,05,23,19,M,7.0,White,16-30 Min,False,False,Special Detail/Directed Patrol,1,Citation
2013,08,16,19,M,9.0,Black,16-30 Min,False,False,Other Traffic Violation,1,Citation
2012,09,03,17,M,6.0,White,30+ Min,False,False,Other Traffic Violation,1,Citation
2008,06,06,7,M,10.0,White,0-15 Min,False,False,Speeding,1,Citation
2012,06,19,23,M,9.0,Black,0-15 Min,False,False,Speeding,1,Citation
2011,07,09,15,F,11.0,White,16-30 Min,False,False,Speeding,1,Citation
2008,06,29,14,F,5.0,Hispanic,16-30 Min,False,False,Other Traffic Violation,1,Citation
2012,01,18,18,M,7.0,Black,0-15 Min,False,False,Special Detail/Directed Patrol,1,Citation
2006,03,21,22,M,4.0,White,0-15 Min,False,False,Speeding,1,Citation
2006,01,19,3,M,7.0,Hispanic,0-15 Min,False,False,Speeding,1,Citation
2012,04,03,6,M,4.0,White,0-15 Min,False,False,Equipment/Inspection Violation,1,Citation
2008,08,28,0,M,6.0,White,0-15 Min,False,False,Equipment/Inspection Violation,8,Citation
2011,03,21,16,M,8.0,Hispanic,0-15 Min,False,False,Other Traffic Violation,1,Citation
2012,06,03,10,M,4.0,White,0-15 Min,False,False,Speeding,1,Citation
2011,02,08,19,M,4.0,Black,0-15 Min,False,False,Other Traffic Violation,1,Citation
2015,06,05,17,M,5.0,White,0-15 Min,False,False,Registration Violation,1,Citation
2005,11,21,13,M,5.0,White,0-15 Min,False,False,Speeding,1,Citation
2005,10,16,1,F,4.0,Black,0-15 Min,False,False,Speeding,1,Citation
2008,06,24,1,M,15.0,Hispanic,0-15 Min,False,False,Equipment/Inspection Violation,1,Citation
2007,06,19,15,M,6.0,Hispanic,0-15 Min,False,False,Registration Violation,1,Citation
2013,10,14,8,M,6.0,White,16-30 Min,False,False,Speeding,1,Citation
2006,04,11,16,F,9.0,White,16-30 Min,False,False,Other Traffic Violation,1,Citation
2013,06,09,15,M,8.0,White,16-30 Min,False,False,Seatbelt Violation,1,Citation
2014,02,01,11,F,7.0,White,0-15 Min,False,False,Speeding,1,Citation
2014,09,06,0,F,4.0,White,0-15 Min,False,False,Speeding,1,Citation
2013,12,13,10,M,4.0,Black,0-15 Min,False,False,Seatbelt Violation,1,Citation
2010,07,16,12,M,5.0,White,0-15 Min,False,False,Speeding,4,Citation
2010,09,10,20,M,5.0,White,16-30 Min,False,False,Speeding,1,Citation
2015,05,17,7,F,4.0,Asian,16-30 Min,False,False,Speeding,1,Citation
2010,06,08,7,M,3.0,White,0-15 Min,False,False,Speeding,1,Citation
2012,09,02,16,M,5.0,White,0-15 Min,False,False,Other Traffic Violation,1,Citation
2006,08,04,19,M,4.0,White,0-15 Min,False,False,Other Traffic Violation,1,Citation
2006,05,23,13,F,9.0,White,0-15 Min,False,False,Speeding,1,Citation
2009,09,23,19,M,9.0,Black,0-15 Min,False,False,Other Traffic Violation,1,Citation
2008,05,10,14,M,4.0,White,0-15 Min,False,False,Speeding,1,Citation
2011,06,02,13,M,12.0,White,0-15 Min,False,False,Special Detail/Directed Patrol,1,Citation
2010,09,07,7,M,3.0,White,0-15 Min,False,False,Speeding,1,Citation
2008,06,02,10,M,6.0,White,0-15 Min,False,False,Special Detail/Directed Patrol,1,Citation
2010,07,20,0,M,5.0,Hispanic,16-30 Min,False,False,Equipment/Inspection Violation,2,Citation
2011,03,12,11,M,5.0,White,0-15 Min,False,False,Speeding,1,Citation
2012,06,15,7,M,10.0,Black,0-15 Min,False,False,Speeding,1,Citation
2007,10,05,1,F,8.0,White,0-15 Min,False,False,Speeding,1,Citation
2009,09,24,10,M,9.0,Black,0-15 Min,False,False,Other Traffic Violation,1,Citation
2011,05,16,10,M,14.0,White,16-30 Min,False,False,Equipment/Inspection Violation,1,Citation
2014,06,29,12,M,9.0,White,0-15 Min,False,False,Other Traffic Violation,1,Citation
2012,01,14,16,M,6.0,White,0-15 Min,False,False,Equipment/Inspection Violation,1,Citation
2006,02,17,22,F,10.0,White,0-15 Min,False,False,Speeding,1,Citation
2011,08,06,6,M,5.0,Hispanic,0-15 Min,False,False,Other Traffic Violation,1,Citation
2009,08,06,4,M,10.0,Black,0-15 Min,False,False,Other Traffic Violation,1,Citation
2008,04,30,23,M,12.0,Hispanic,16-30 Min,False,False,Speeding,1,Citation
2015,02,16,23,M,5.0,White,0-15 Min,False,False,Seatbelt Violation,1,Citation
2006,11,03,15,M,4.0,White,0-15 Min,False,False,Speeding,1,Citation
2006,04,23,9,M,11.0,White,0-15 Min,False,False,Speeding,1,Citation
2009,09,21,22,M,10.0,White,0-15 Min,False,False,Speeding,1,Citation
2009,07,17,15,M,10.0,White,16-30 Min,False,False,Other Traffic Violation,1,Citation
2011,10,18,10,M,7.0,White,0-15 Min,False,False,Equipment/Inspection Violation,1,Citation
2009,04,09,23,F,3.0,White,30+ Min,False,False,Speeding,1,Citation
2013,12,16,9,M,5.0,White,0-15 Min,False,False,Speeding,1,Citation
2005,10,28,10,M,7.0,White,0-15 Min,False,False,Speeding,1,Citation
2007,05,18,14,M,8.0,White,0-15 Min,False,False,Other Traffic Violation,1,Citation
2006,01,01,20,M,6.0,White,0-15 Min,False,False,Speeding,1,Citation
2009,10,26,8,M,12.0,White,0-15 Min,False,False,Other Traffic Violation,1,Citation
2015,01,10,9,M,11.0,White,16-30 Min,False,False,Speeding,1,Citation
2012,05,26,10,M,10.0,White,0-15 Min,False,False,Speeding,1,Citation
2007,12,13,0,M,4.0,Hispanic,0-15 Min,False,False,Equipment/Inspection Violation,1,Citation
2015,06,27,20,M,6.0,Black,0-15 Min,False,False,Speeding,1,Citation
2009,09,05,10,M,11.0,White,0-15 Min,False,False,Equipment/Inspection Violation,1,Citation
2007,03,05,14,M,4.0,White,0-15 Min,False,False,Speeding,1,Citation
2011,01,15,11,M,4.0,White,0-15 Min,False,False,Speeding,1,Citation
2008,06,23,17,M,5.0,White,16-30 Min,False,False,Speeding,1,Citation
2013,09,30,1,F,4.0,Hispanic,0-15 Min,False,False,Other Traffic Violation,1,Citation
2010,01,05,23,M,3.0,Asian,0-15 Min,False,False,Speeding,1,Citation
2009,12,03,8,F,3.0,White,0-15 Min,False,False,Speeding,1,Citation
2014,04,04,0,M,5.0,Hispanic,0-15 Min,False,False,Equipment/Inspection Violation,1,Citation
2009,06,17,0,M,11.0,White,0-15 Min,False,False,Special Detail/Directed Patrol,1,Citation
2005,12,17,9,M,6.0,White,0-15 Min,False,False,Speeding,1,Citation
2010,05,29,1,M,5.0,Black,0-15 Min,False,False,Speeding,1,Citation
2013,07,11,18,M,4.0,White,0-15 Min,False,False,Other Traffic Violation,1,Citation
2006,10,02,0,M,11.0,White,0-15 Min,False,False,Speeding,1,Citation
2015,05,01,21,F,9.0,White,0-15 Min,False,False,Call for Service,1,Citation
2006,08,09,23,M,4.0,White,0-15 Min,False,False,Speeding,1,Citation
2012,07,08,9,M,4.0,Other,0-15 Min,False,False,Speeding,1,Citation
2010,06,27,0,M,3.0,Black,16-30 Min,False,False,Speeding,1,Citation
2008,07,05,18,M,9.0,White,0-15 Min,False,False,Speeding,1,Citation
2014,07,06,10,M,4.0,White,0-15 Min,False,False,Speeding,1,Citation
2013,06,12,23,M,8.0,White,0-15 Min,False,False,Equipment/Inspection Violation,1,Citation
2009,09,01,0,M,7.0,White,0-15 Min,False,False,Speeding,1,Citation
2008,09,07,16,F,6.0,White,0-15 Min,False,False,Speeding,1,Citation
2013,12,07,8,M,6.0,White,0-15 Min,False,False,Speeding,1,Citation
2012,06,27,21,M,3.0,White,0-15 Min,False,False,Speeding,1,Citation
2012,02,07,7,F,4.0,Hispanic,0-15 Min,False,False,Speeding,1,Citation
2013,03,06,23,M,9.0,Hispanic,0-15 Min,False,False,Other Traffic Violation,1,Citation
2007,11,25,8,M,6.0,Hispanic,0-15 Min,False,False,Speeding,1,Citation
2007,11,05,21,M,4.0,Asian,0-15 Min,False,False,Speeding,1,Citation
2006,04,29,13,M,5.0,White,0-15 Min,False,False,Equipment/Inspection Violation,1,Citation
2008,08,30,15,M,11.0,White,0-15 Min,False,False,Speeding,1,Citation
2013,06,24,20,M,4.0,White,0-15 Min,False,False,Equipment/Inspection Violation,1,Citation
2009,02,15,12,F,12.0,White,0-15 Min,False,False,Speeding,1,Citation
2006,02,08,6,M,4.0,White,16-30 Min,False,False,Speeding,1,Citation
2014,09,30,7,M,4.0,White,0-15 Min,False,False,Speeding,1,Citation
2011,10,18,14,M,9.0,White,30+ Min,False,False,Other Traffic Violation,1,Citation
2014,06,20,9,M,9.0,White,0-15 Min,False,False,Other Traffic Violation,1,Citation
2015,11,27,23,F,5.0,White,0-15 Min,False,False,Seatbelt Violation,1,Citation
2006,04,30,6,M,5.0,White,0-15 Min,False,False,Speeding,1,Citation
2008,06,01,18,M,10.0,White,16-30 Min,False,False,Speeding,1,Citation
2010,09,09,2,M,7.0,White,0-15 Min,False,False,Speeding,1,Citation
2006,03,30,8,F,8.0,White,0-15 Min,False,False,Speeding,1,Citation
2006,02,27,21,M,8.0,White,0-15 Min,False,False,Speeding,1,Citation
2014,01,06,8,M,8.0,White,0-15 Min,False,False,Registration Violation,1,Citation
2011,03,22,10,F,5.0,White,0-15 Min,False,False,Speeding,1,Citation
2009,12,01,10,M,8.0,White,0-15 Min,False,False,Equipment/Inspection Violation,1,Citation
2009,05,10,0,M,4.0,White,16-30 Min,False,False,Speeding,1,Citation
2011,03,07,0,M,4.0,White,0-15 Min,False,False,Other Traffic Violation,1,Citation
2014,02,11,16,F,4.0,White,0-15 Min,False,False,Speeding,1,Citation
2014,05,29,1,M,6.0,Hispanic,0-15 Min,False,False,Seatbelt Violation,1,Citation
2011,09,05,22,M,5.0,White,0-15 Min,False,False,Equipment/Inspection Violation,1,Citation
2010,08,02,0,M,6.0,White,0-15 Min,False,False,Speeding,1,Citation
2012,01,05,14,M,7.0,Hispanic,0-15 Min,False,False,Other Traffic Violation,1,Citation
2007,09,16,1,M,5.0,White,0-15 Min,False,False,Speeding,1,Citation
2006,09,05,18,M,6.0,White,0-15 Min,False,False,Speeding,1,Citation
2008,05,25,9,M,6.0,White,0-15 Min,False,False,Speeding,1,Citation
2011,01,23,8,F,7.0,White,16-30 Min,False,False,Speeding,1,Citation
2008,09,13,9,F,8.0,White,0-15 Min,False,False,Speeding,1,Citation
2012,09,18,1,M,6.0,White,0-15 Min,False,False,Equipment/Inspection Violation,1,Citation
2012,05,11,9,M,8.0,White,0-15 Min,False,False,Other Traffic Violation,1,Citation
2007,02,04,11,F,6.0,White,0-15 Min,False,False,Speeding,1,Citation
2011,10,10,10,M,4.0,White,16-30 Min,False,False,Other Traffic Violation,1,Citation
2013,02,01,23,M,7.0,Hispanic,0-15 Min,False,False,Other Traffic Violation,1,Citation
2007,05,11,1,F,4.0,White,0-15 Min,False,False,Speeding,1,Citation
2010,03,21,20,M,5.0,White,0-15 Min,False,False,Speeding,1,Citation
2008,10,20,0,F,11.0,White,0-15 Min,False,False,Speeding,1,Citation
2015,01,15,22,M,7.0,Black,0-15 Min,False,False,Speeding,1,Citation
2009,01,06,11,F,6.0,Black,0-15 Min,False,False,Speeding,1,Citation
2006,12,26,7,F,8.0,White,0-15 Min,False,False,Speeding,1,Citation
2010,02,12,23,M,5.0,White,0-15 Min,False,False,Speeding,1,Citation
2009,03,30,9,F,11.0,White,0-15 Min,False,False,Speeding,1,Citation
2015,11,12,22,M,7.0,Asian,0-15 Min,False,False,Speeding,1,Citation
2011,09,06,4,M,11.0,Hispanic,0-15 Min,False,False,Speeding,1,Citation
2009,02,03,23,M,4.0,Hispanic,0-15 Min,False,False,Other Traffic Violation,1,Citation
2015,01,02,16,M,8.0,White,0-15 Min,False,False,Speeding,1,Citation
2007,07,29,9,F,6.0,Hispanic,0-15 Min,False,False,Speeding,1,Citation
2015,08,29,13,F,7.0,White,0-15 Min,False,False,Speeding,1,Citation
2008,01,01,14,F,6.0,Hispanic,0-15 Min,False,False,Speeding,1,Citation
2014,11,03,12,M,4.0,Asian,0-15 Min,False,False,Other Traffic Violation,1,Citation
2010,08,20,23,M,10.0,White,0-15 Min,False,False,Other Traffic Violation,1,Citation
2012,07,19,1,M,8.0,White,0-15 Min,False,False,Other Traffic Violation,1,Citation
2008,12,28,10,F,3.0,White,16-30 Min,False,False,Speeding,1,Citation
2006,05,21,9,M,7.0,White,0-15 Min,False,False,Speeding,1,Citation
2008,03,03,17,M,5.0,White,0-15 Min,False,False,Speeding,1,Citation
2010,02,05,7,M,6.0,White,0-15 Min,False,False,Speeding,1,Citation
2013,01,19,10,M,5.0,White,0-15 Min,False,False,Speeding,1,Citation
